Time,Country,Country Code,Females in NatSci/Math/Stats programs(%),GDP Per Capita(current US$),Gov expenditure per student,Female Life Expectancy,Male Life Expectancy,Population,Female Population,Female Pop(% of total),Females in STEM programs(%),Female Primary Graduation(%),Male Primary Graduation(%),Female Tertiary Graduation(%),Male Tertiary Graduation(%),Youth Literacy,A woman can get a job in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),Total Labor Force,Female Labor Force,Female Labor Force (% of total),Female Retirement Age,Male Retirement Age
2016,Pacific island small states,PSS,,3967.60457238316,,71.5302391996394,67.8481046577602,2388307.0,1127092.0,49.2486397879154,,,,,,,..,..,..,..,868890.0,350609.0,40.3512063078108,,
2016,Post-demographic dividend,PST,,41299.6861038583,20.295035,83.2916694249316,77.9550740975928,1101715022.0,561151807.0,50.9343882995554,,,,,,,..,..,..,..,554082443.0,252200855.0,45.516846504675,,
2016,Pre-demographic dividend,PRE,,1400.23186523359,,61.5913099449004,58.4019369251032,869943914.0,434944788.0,49.996876765766,,,,,,0.880169987678528,..,..,..,..,310009154.0,137740337.0,44.4310548040717,,
2016,Small states,SST,,11353.6237074227,,70.7912195196363,67.3030347206027,39200571.0,18611023.0,47.7886939044386,,,,,,1.00167000293732,..,..,..,..,17594507.0,6903304.0,39.2355570004507,,
2016,South Asia,SAS,,1650.33013926635,,70.2333732256158,67.7096108574667,1771167194.0,856232039.0,48.34281262067,,,,,,0.948350012302399,..,..,..,..,648184817.0,145240623.0,22.4072858837112,,
2016,South Asia (IDA & IBRD),TSA,,1650.33013926635,,70.2333732256158,67.7096108574667,1771167194.0,856232039.0,48.34281262067,,,,,,0.948350012302399,..,..,..,..,648184817.0,145240623.0,22.4072858837112,,
2016,Sub-Saharan Africa,SSF,,1506.4356504609,,62.1764269897429,58.7230166265869,1022526541.0,512663268.0,50.136915371903,,,,,,0.910690009593964,..,..,..,..,389728134.0,180329233.0,46.2705197142862,,
2016,Sub-Saharan Africa (excluding high income),SSA,,1495.05561698279,,62.1553865136325,58.7067501322038,1021168391.0,511979212.0,50.1366097832217,,,,,,0.910570025444031,..,..,..,..,389127174.0,180095985.0,46.2820376236071,,
2016,Sub-Saharan Africa (IDA & IBRD),TSS,,1506.4356504609,,62.1764269897429,58.7230166265869,1022526541.0,512663268.0,50.136915371903,,,,,,0.910690009593964,..,..,..,..,389728134.0,180329233.0,46.2705197142862,,
2016,Upper middle income,UMC,,7632.3928313119,,77.5997672496775,72.3097411142096,2795835267.0,1388531060.0,49.6993483946403,,,,,,0.999769985675812,..,..,..,..,1441076465.0,608414749.0,42.2194632923667,,
2016,World,WLD,,10286.3761444919,,74.5043788462673,70.0095340256882,7424286143.0,3679999596.0,49.5856778180134,,,,,,0.969380021095276,..,..,..,..,3355050224.0,1303817581.0,38.8613431578936,,
2016,Afghanistan,AFG,,509.218661332126,10.34081,65.275,62.343,35383128.0,17196083.0,48.5996676146541,,43.18877,66.6153,,,,1,1,0,0,9567304.0,1895900.0,19.8164498588108,,
2016,Albania,ALB,69.29825,4124.05572595352,,80.134,76.353,2876101.0,1410814.0,49.0529987420434,48.29606,100.94626,95.78836,51.5211601257324,28.791690826416,,1,1,1,1,1328845.0,558453.0,42.0254431479969,,
2016,Algeria,DZA,75.87614,3945.48208133854,,77.524,75.115,40551404.0,20069500.0,49.4915045838864,55.47199,109.23265,112.59505,,,,1,1,1,0,12178730.0,2400015.0,19.7066114447073,,
2016,American Samoa,ASM,,11696.9555623329,,,,55741.0,,,,,,,,,..,..,..,..,,,,,
2016,Andorra,AND,,37474.6654057245,12.74297,,,77297.0,,,25.0,,,,,,..,..,..,..,,,,,
2016,Angola,AGO,,3506.07288506966,,62.783,57.242,28842484.0,14576128.0,50.5370064892474,,,,,,,1,1,1,1,11848868.0,5936008.0,50.0976802172157,,
2016,Antigua and Barbuda,ATG,,15197.6174551735,,77.766,75.41,94527.0,49006.0,51.8429961912823,,,,,,,1,1,0,1,,,,,
2016,Argentina,ARG,,12790.2424732447,15.2222,79.583,72.768,43590368.0,22344847.0,51.2609743314513,,107.74698,105.50019,,,1.00244998931885,1,1,1,1,19696125.0,8268446.0,41.9800646066168,,
2016,Armenia,ARM,57.07384,3591.82927553023,11.27122,77.949,71.022,2936146.0,1555132.0,52.9650933689628,36.8438,91.04031,88.52614,27.1798400878906,28.7889099121094,,1,1,1,1,1304793.0,600841.0,46.0487602248019,,
2016,Aruba,ABW,40.0,28281.35048163,,78.237,73.348,104872.0,55048.0,52.4903447289372,40.0,,,,,,..,..,..,..,,,,,
2016,Australia,AUS,,49971.131456129,19.30184,84.6,80.4,24190907.0,12141288.0,50.1894718273433,,,,,,,1,1,1,1,12742051.0,5881885.0,46.161210624569,,
2016,Austria,AUT,49.59479,45276.8314351693,23.48041,84.1,79.3,8736668.0,4453787.0,50.9780954273236,25.9026,,,42.9582481384277,28.0394096374512,,1,1,1,1,4537417.0,2119047.0,46.7016145970273,,
2016,Azerbaijan,AZE,68.76228,3880.73873089556,,75.088,69.858,9757812.0,4898038.0,50.1960704561536,34.83515,99.59412,104.38457,16.7298793792725,17.7816905975342,0.999539971351624,1,1,1,1,4969576.0,2424415.0,48.7851478677457,,
2016,"Bahamas, The",BHS,,31562.6397411168,,75.509,71.064,377931.0,194450.0,51.4512215451296,,,,,,,1,1,1,1,219167.0,105533.0,48.151865928721,,
2016,Bahrain,BHR,81.08108,22608.484275925,,77.997,76.063,1425791.0,538854.0,37.7933542947679,45.74275,103.14073,95.822,35.095401763916,13.2256097793579,0.988940000534058,0,1,0,0,817934.0,174931.0,21.3869334200559,,
2016,Bangladesh,BGD,12.99893,1401.62062821515,,73.655,70.192,157970840.0,77925128.0,49.328805151069,19.77568,99.21216,79.55784,,,1.02812004089355,1,1,1,0,63702950.0,18313575.0,28.7483939126838,,
2016,Barbados,BRB,,16900.166552366,20.75168,80.227,77.452,285796.0,147895.0,51.7484377077516,,96.37163,92.68548,,,,1,1,1,1,154881.0,76539.0,49.417940225076,,
2016,Belarus,BLR,62.39831,5022.62664330491,,79.0,68.9,9501534.0,5079571.0,53.4605391398654,26.97185,93.32643,93.41573,,,,1,1,1,1,5106110.0,2537217.0,49.689822585099,,
